ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002161.SZ,20201214,6.05,6.14,5.98,6.14,6.06,0.08000000000000007,1.3201,35003.12,21197.17
002161.SZ,20201211,6.17,6.21,6.0,6.06,6.17,-0.11000000000000032,-1.7828,63293.74,38374.728
002161.SZ,20201210,6.21,6.26,6.16,6.17,6.21,-0.040000000000000036,-0.6441,37548.0,23304.563
002161.SZ,20201209,6.38,6.41,6.2,6.21,6.36,-0.15000000000000036,-2.3585,42412.01,26714.799
002161.SZ,20201208,6.48,6.51,6.33,6.36,6.47,-0.10999999999999943,-1.7002,55435.54,35475.629
002161.SZ,20201207,6.55,6.59,6.46,6.47,6.51,-0.040000000000000036,-0.6144,60170.38,39272.145
002161.SZ,20201204,6.42,6.55,6.38,6.51,6.42,0.08999999999999986,1.4019,76512.79,49717.566
002161.SZ,20201203,6.44,6.46,6.37,6.42,6.42,0.0,0.0,48178.56,30917.497
002161.SZ,20201202,6.32,6.51,6.3,6.42,6.31,0.11000000000000032,1.7433,98872.77,63330.623
002161.SZ,20201201,6.26,6.32,6.23,6.31,6.26,0.04999999999999982,0.7987,45960.31,28896.153
002161.SZ,20201130,6.14,6.31,6.11,6.26,6.14,0.1200000000000001,1.9544,61570.4,38471.17
002161.SZ,20201127,6.17,6.2,6.08,6.14,6.18,-0.040000000000000036,-0.6472,38753.02,23775.919
002161.SZ,20201126,6.26,6.27,6.16,6.18,6.25,-0.07000000000000028,-1.12,36863.01,22833.034
002161.SZ,20201125,6.28,6.39,6.25,6.25,6.26,-0.009999999999999787,-0.1597,68590.32,43245.695
002161.SZ,20201124,6.26,6.33,6.25,6.26,6.27,-0.009999999999999787,-0.1595,45313.45,28521.54
002161.SZ,20201123,6.23,6.28,6.16,6.27,6.23,0.03999999999999915,0.6421,49544.91,30816.54
002161.SZ,20201120,6.26,6.27,6.18,6.23,6.26,-0.02999999999999936,-0.4792,29766.01,18513.37
002161.SZ,20201119,6.2,6.28,6.14,6.26,6.2,0.05999999999999961,0.9677,39874.7,24847.357
002161.SZ,20201118,6.19,6.28,6.16,6.2,6.19,0.009999999999999787,0.1616,35314.97,21932.081
002161.SZ,20201117,6.23,6.24,6.12,6.19,6.22,-0.02999999999999936,-0.4823,36021.34,22197.8
002161.SZ,20201116,6.19,6.24,6.18,6.22,6.2,0.019999999999999574,0.3226,34631.01,21492.088
002161.SZ,20201113,6.24,6.25,6.15,6.2,6.3,-0.09999999999999964,-1.5873,43093.0,26690.223
002161.SZ,20201112,6.28,6.37,6.17,6.3,6.21,0.08999999999999986,1.4493,60957.84,38139.858
002161.SZ,20201111,6.33,6.33,6.21,6.21,6.34,-0.1299999999999999,-2.0505,39936.06,24928.05
002161.SZ,20201110,6.43,6.45,6.3,6.34,6.41,-0.07000000000000028,-1.092,46430.06,29555.921
002161.SZ,20201109,6.31,6.44,6.31,6.41,6.29,0.1200000000000001,1.9078,58829.2,37666.137
